0	0	-0.94639
0	1	-0.952185
0	2	-0.971876
0	3	-0.972794
1	0	-0.969193
1	1	-0.957672
1	2	-1.01466
1	3	-0.937539
2	0	-0.970152
2	1	-0.903827
2	2	-1.02159
2	3	0.883016
3	0	-1.02675
3	1	-0.925059
3	2	-1.04125
3	3	-0.997709
4	0	-0.980061
4	1	-0.895674
4	2	-1.00026
4	3	-0.984264
5	0	0
5	1	0
5	2	0
5	3	0
6	0	-1.00482
6	1	-0.933713
6	2	-1.00611
6	3	-0.953458
7	0	-0.929227
7	1	-0.885895
7	2	-0.904348
7	3	-0.887154
8	0	-0.926321
8	1	-0.916699
8	2	-1.00566
8	3	-0.929684
9	0	-1.01136
9	1	-0.935824
9	2	-0.957927
9	3	-0.912358
10	0	-0.944919
10	1	-0.930677
10	2	-0.927716
10	3	-0.904946
11	0	-0.92634
11	1	-0.985804
11	2	-0.949887
11	3	-0.971624
